source,relationship,target
1. Phoenix,has emotional connection with,Marcus
2. Phoenix,collaborates with,Rory
3. Phoenix,has emotional connection with,her mother
4. Phoenix,leads,underground artists
5. Phoenix,has emotional connection with,Zara
6. Phoenix,has emotional connection with,Kai
7. Phoenix,has emotional connection with,Maya
8. Phoenix,has emotional connection with,Senna
9. Phoenix,has emotional connection with,Elderly Artist
10. Phoenix,has emotional connection with,Young Artist
11. Phoenix,has emotional connection with,her art
12. Phoenix,has emotional connection with,her sanctuary
13. Phoenix,has emotional connection with,her mother's pendant
14. Rory,collaborates with,Phoenix
15. Rory,supports,Phoenix's revolution
16. Zara,supports,Phoenix's revolution
17. Zara,has emotional connection with,Phoenix
18. Kai,supports,Phoenix's art
19. Maya,supports,Phoenix's art
20. Senna,inspired by,Phoenix's art
